key;name;lang;langName
typescript:S4634;Shorthand promises should be used;ts;TypeScript
javascript:S3776;Cognitive Complexity of functions should not be too high;js;JavaScript
typescript:S4623;"undefined" should not be passed as the value of optional parameters;ts;TypeScript
typescript:S1301;"switch" statements should have at least 3 "case" clauses;ts;TypeScript
typescript:S125;Sections of code should not be commented out;ts;TypeScript
typescript:S1854;Unused assignments should be removed;ts;TypeScript
css:S4649;Font declarations should contain at least one generic font family;css;CSS
javascript:S125;Sections of code should not be commented out;js;JavaScript
javascript:S2703;Variables should be declared explicitly;js;JavaScript
javascript:S1128;Unnecessary imports should be removed;js;JavaScript
javascript:S1116;Extra semicolons should be removed;js;JavaScript
typescript:S4782;Optional property declarations should not use both '?' and 'undefined' syntax;ts;TypeScript
typescript:S1940;Boolean checks should not be inverted;ts;TypeScript
typescript:S4138;"for of" should be used with Iterables;ts;TypeScript
typescript:S1116;Extra semicolons should be removed;ts;TypeScript
typescript:S2814;Variables and functions should not be redeclared;ts;TypeScript
typescript:S4323;Type aliases should be used;ts;TypeScript
typescript:S4326;"await" should not be used redundantly;ts;TypeScript
python:S1066;Collapsible "if" statements should be merged;py;Python
python:S1542;Function names should comply with a naming convention;py;Python
xml:S125;Sections of code should not be commented out;xml;XML
javascript:S6353;Regular expression quantifiers and character classes should be used concisely;js;JavaScript
javascript:S1301;"switch" statements should have at least 3 "case" clauses;js;JavaScript
javascript:S1481;Unused local variables and functions should be removed;js;JavaScript
typescript:S4043;Array-mutating methods should not be used misleadingly;ts;TypeScript
javascript:S3504;Variables should be declared with "let" or "const";js;JavaScript
python:S2737;"except" clauses should do more than raise the same issue;py;Python
python:S112;"Exception" and "BaseException" should not be raised;py;Python
javascript:S3626;Jump statements should not be redundant;js;JavaScript
Web:AvoidCommentedOutCodeCheck;Sections of code should not be commented out;web;HTML
python:S1192;String literals should not be duplicated;py;Python
css:S4653;Units should be valid;css;CSS
typescript:S3776;Cognitive Complexity of functions should not be too high;ts;TypeScript
typescript:S1479;"switch" statements should not have too many "case" clauses;ts;TypeScript
Web:BoldAndItalicTagsCheck;"<strong>" and "<em>" tags should be used;web;HTML
typescript:S1110;Redundant pairs of parentheses should be removed;ts;TypeScript
css:S4666;Selectors should not be duplicated;css;CSS
xml:S1778;XML files containing a prolog header should start with "<?xml" characters;xml;XML
python:S1226;Function parameters initial values should not be ignored;py;Python
python:S5806;Builtins should not be shadowed by local variables;py;Python
python:S5795;Identity comparisons should not be used with cached typed;py;Python
python:S117;Local variable and function parameter names should comply with a naming convention;py;Python
javascript:S1788;Function parameters with default values should be last;js;JavaScript
css:S4667;CSS files should not be empty;css;CSS
typescript:S6440;React Hooks should be properly called;ts;TypeScript
python:S125;Sections of code should not be commented out;py;Python
python:S1186;Functions and methods should not be empty;py;Python
python:S1172;Unused function parameters should be removed;py;Python
python:S1854;Unused assignments should be removed;py;Python
python:S3358;Conditional expressions should not be nested;py;Python
python:S1481;Unused local variables should be removed;py;Python
typescript:S6441;Unused methods of React components should be removed;ts;TypeScript
xml:S1135;Track uses of "TODO" tags;xml;XML
python:S2208;Wildcard imports should not be used;py;Python
javascript:S4138;"for of" should be used with Iterables;js;JavaScript
javascript:S4326;"await" should not be used redundantly;js;JavaScript
python:S1940;Boolean checks should not be inverted;py;Python
python:S1135;Track uses of "TODO" tags;py;Python
typescript:S4165;Assignments should not be redundant;ts;TypeScript
typescript:S1472;Function call arguments should not start on new lines;ts;TypeScript
typescript:S1135;Track uses of "TODO" tags;ts;TypeScript
javascript:S1121;Assignments should not be made from within sub-expressions;js;JavaScript
javascript:S1186;Functions should not be empty;js;JavaScript
javascript:S1854;Unused assignments should be removed;js;JavaScript
typescript:S4144;Functions should not have identical implementations;ts;TypeScript
typescript:S3358;Ternary operators should not be nested;ts;TypeScript
python:PrintStatementUsage;The "print" statement should not be used;py;Python
python:S3776;Cognitive Complexity of functions should not be too high;py;Python
javascript:S1134;Track uses of "FIXME" tags;js;JavaScript
Web:S5254;"<html>" element should have a language attribute;web;HTML
Web:PageWithoutTitleCheck;"<title>" should be present in all pages;web;HTML
javascript:S878;Comma operator should not be used;js;JavaScript
javascript:S1135;Track uses of "TODO" tags;js;JavaScript
javascript:S3776;Cognitive Complexity of functions should not be too high;js;JavaScript
javascript:S905;Non-empty statements should change control flow or have at least one side-effect;js;JavaScript
typescript:S1301;"switch" statements should have at least 3 "case" clauses;ts;TypeScript
typescript:S1854;Unused assignments should be removed;ts;TypeScript
typescript:S4624;Template literals should not be nested;ts;TypeScript
css:S4649;Font declarations should contain at least one generic font family;css;CSS
javascript:S2703;Variables should be declared explicitly;js;JavaScript
javascript:S1128;Unnecessary imports should be removed;js;JavaScript
javascript:S1534;Property names should not be duplicated within a class or object literal;js;JavaScript
typescript:S4782;Optional property declarations should not use both '?' and 'undefined' syntax;ts;TypeScript
typescript:S1940;Boolean checks should not be inverted;ts;TypeScript
typescript:S4138;"for of" should be used with Iterables;ts;TypeScript
javascript:S2432;Setters should not return values;js;JavaScript
python:S1066;Collapsible "if" statements should be merged;py;Python
python:S1542;Function names should comply with a naming convention;py;Python
python:S108;Nested blocks of code should not be left empty;py;Python
typescript:S2201;Return values from functions without side effects should not be ignored;ts;TypeScript
